,,,,,kg CO2 eq/ kg or litre food commodity,,,,,,,,,,,,,,,
FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
AGRICULTURAL PROCESSED,CHOCOLATE,-,DARK CHOCOLATE,3,2.67,2.71,0.14,2.49,2.82,0.11,2.60,2.77,0.05,-0.382,,0.637,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,CHOCOLATE,-,MILK CHOCOLATE,1,3.60,3.60,-,3.60,3.60,-,3.60,3.60,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,COFFEE GROUND & PARCHMENT,-,COFFEE GROUND,2,5.13,5.13,0.31,4.82,5.44,0.31,4.97,5.28,0.06,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,COFFEE GROUND & PARCHMENT,-,COFFEE PARCHMENT,4,8.47,8.29,1.74,6.34,10.94,1.40,7.17,9.59,0.21,0.227,1.605,0.881,Y,G,G,ITEM
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE DRIP FILTERED (L),2,0.60,0.60,0.14,0.46,0.73,0.14,0.53,0.66,0.23,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,COFFEE SOLUBLE POWDER (L),1,0.33,0.33,-,0.33,0.33,-,0.33,0.33,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,COFFEE LIQUID,-,ESPRESSO (L),1,0.55,0.55,-,0.55,0.55,-,0.55,0.55,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,CRACKERS,-,FLAVORED CRACKERS**,4,1.01,0.93,0.15,0.91,1.26,0.02,0.91,1.02,0.15,1.134,2.317,0.011,Y,G,Y,ITEM
AGRICULTURAL PROCESSED,CRACKERS,-,PLAIN CRACKERS**,8,1.24,1.35,0.20,0.97,1.45,0.08,1.02,1.39,0.16,-0.466,1.368,0.027,Y,G,Y,ITEM
AGRICULTURAL PROCESSED,CRACKERS,-,WHOLEGRAIN CRACKERS**,17,0.99,0.97,0.31,0.49,1.43,0.29,0.71,1.32,0.31,0.051,1.680,0.149,G,G,G,ITEM
AGRICULTURAL PROCESSED,CRISPBREAD**,-,CRISPBREAD**,6,1.36,1.35,0.11,1.19,1.53,0.08,1.30,1.45,0.08,-0.013,1.859,0.898,Y,G,G,ITEM
AGRICULTURAL PROCESSED,DRESSING,-,KETCHUP,1,1.46,1.46,-,1.46,1.46,-,1.46,1.46,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,DRESSING,-,MAYONNAISE,1,2.04,2.04,-,2.04,2.04,-,2.04,2.04,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,DRESSING,-,TEMPE',1,1.10,1.10,-,1.10,1.10,-,1.10,1.10,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,EGG PASTA*,-,EGG PASTA*,5,3.19,3.15,0.77,2.41,4.55,0.64,2.51,3.33,0.24,0.762,2.308,0.368,Y,n.a,G,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT FROZEN* (raspberry),-,RASPBERRIES (F)*,1,1.18,1.18,-,1.18,1.18,-,1.18,1.18,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),-,APPLE JUICE (I),1,2.84,2.84,-,2.84,2.84,-,2.84,2.84,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),-,BLUEBERRY JUICE (I),1,3.00,3.00,-,3.00,3.00,-,3.00,3.00,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),-,CRANBERRY JUICE (I),1,2.88,2.88,-,2.88,2.88,-,2.88,2.88,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),-,FIG JUICE (I),1,3.20,3.20,-,3.20,3.20,-,3.20,3.20,-,-,-,n.a.,R,R,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),-,KIWI JUICE (I),1,2.84,2.84,-,2.84,2.84,-,2.84,2.84,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),-,MANGO JUICE (I),1,2.96,2.96,-,2.96,2.96,-,2.96,2.96,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),-,PINEAPPLE JUICE (I),2,2.78,2.78,0.06,2.72,2.84,0.06,2.75,2.81,0.02,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),-,STRAWBERRY JUICE (I),1,2.68,2.68,-,2.68,2.68,-,2.68,2.68,-,-,-,n.a.,R,R,R,TYPOLOGY
AGRICULTURAL PROCESSED,FRUIT JUICE LOCAL,-,ORANGE JUICE,13,0.62,0.46,0.46,0.24,2.00,0.06,0.42,0.52,0.74,2.028,6.278,0.000,G,G,R,ITEM
AGRICULTURAL PROCESSED,FRUIT JUICE LOCAL,-,PEAR JUICE,2,0.49,0.49,0.03,0.46,0.52,0.03,0.48,0.51,0.06,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,BUCKWHEAT FLOUR,1,1.96,1.96,-,1.96,1.96,-,1.96,1.96,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,DURUM WHEAT,4,0.48,0.47,0.06,0.40,0.57,0.05,0.43,0.51,0.13,0.338,1.721,0.876,Y,G,G,ITEM
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,GRAHAM FLOUR,1,0.47,0.47,-,0.47,0.47,-,0.47,0.47,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,MAIZE FLOUR,1,1.31,1.31,-,1.31,1.31,-,1.31,1.31,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,MILLET FLOUR,1,1.37,1.37,-,1.37,1.37,-,1.37,1.37,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,OAT MEAL,5,1.13,0.87,0.61,0.69,2.32,0.14,0.74,1.01,0.54,1.077,2.274,0.054,Y,G,G,ITEM
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,SORGHUM FLOUR,1,1.33,1.33,-,1.33,1.33,-,1.33,1.33,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,WHEAT PLAIN FLOUR,16,0.61,0.52,0.23,0.33,1.18,0.11,0.47,0.72,0.38,1.166,3.532,0.032,G,G,Y,ITEM
AGRICULTURAL PROCESSED,GRAIN FLOUR,-,WHOLE WHEAT FLOUR,6,0.38,0.36,0.09,0.27,0.51,0.09,0.29,0.45,0.24,0.196,1.396,0.376,Y,G,G,ITEM
AGRICULTURAL PROCESSED,ICE CREAM,-,CHOCOLATE,2,6.60,6.60,0.20,6.40,6.80,0.20,6.50,6.70,0.03,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,ICE CREAM,-,ICE CREAM,1,1.02,1.02,-,1.02,1.02,-,1.02,1.02,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,ICE CREAM,-,VANILLA,2,4.30,4.30,0.10,4.20,4.40,0.10,4.25,4.35,0.02,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,LEGUME FLOUR,-,AZUKI BEAN FLOUR,1,1.32,1.32,-,1.32,1.32,-,1.32,1.32,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,LEGUME FLOUR,-,MUNG BEAN FLOUR,1,1.49,1.49,-,1.49,1.49,-,1.49,1.49,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,LEGUME FLOUR,-,SOY MEAL,2,0.62,0.62,0.28,0.34,0.90,0.28,0.48,0.76,0.45,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,LEGUMES CANNED,-,BEANS IN CAN,1,0.11,0.11,-,0.11,0.11,-,0.11,0.11,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,LEGUMES CANNED,-,GREEN BEANS IN CAN,1,1.45,1.45,-,1.45,1.45,-,1.45,1.45,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,LEGUMES FROZEN,-,BEANS (F),1,1.77,1.77,-,1.77,1.77,-,1.77,1.77,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,LEGUMES FROZEN,-,GREEN BEANS (F),1,2.74,2.74,-,2.74,2.74,-,2.74,2.74,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,MARGARINE*,-,MARGARINE*,6,1.43,1.39,0.24,1.10,1.80,0.21,1.26,1.61,0.17,0.224,1.729,0.881,Y,n.a,G,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,NUTS COVERED WITH CHOCOLATE,-,ALMOND COVERED WITH CHOCOLATE,1,4.80,4.80,-,4.80,4.80,-,4.80,4.80,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,NUTS COVERED WITH CHOCOLATE,-,HAZELNUT COVERED WITH CHOCOLATE,1,3.43,3.43,-,3.43,3.43,-,3.43,3.43,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,NUTS PASTE,-,ALMOND PASTE,2,2.98,2.98,0.09,2.89,3.07,0.09,2.94,3.03,0.03,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,NUTS PASTE,-,HAZELNUT CREAM,2,2.71,2.71,0.10,2.61,2.81,0.10,2.66,2.76,0.04,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,NUTS PASTE,-,HAZELNUT PASTE,2,1.69,1.69,0.10,1.59,1.78,0.10,1.64,1.73,0.06,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,NUTS PASTE,-,PEANUT BUTTER,1,1.15,1.15,-,1.15,1.15,-,1.15,1.15,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,NUTS PASTE,-,PEANUT PASTE,2,1.84,1.84,0.09,1.75,1.93,0.09,1.80,1.89,0.05,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,OIL,-,OLIVE OIL,45,3.84,3.27,2.85,0.63,17.53,1.05,2.58,4.56,0.74,2.834,13.254,0.000,G,G,R,ITEM
AGRICULTURAL PROCESSED,OIL,-,PALM OIL,5,2.32,2.43,0.76,1.01,3.32,0.27,2.16,2.65,0.33,-0.545,2.401,0.769,Y,G,G,ITEM
AGRICULTURAL PROCESSED,OIL,-,PEANUT OIL,2,2.90,2.90,1.96,0.94,4.86,1.96,1.92,3.88,0.68,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,OIL,-,RAPESEED OIL,9,2.40,1.79,1.27,0.40,4.30,1.38,1.54,3.63,0.53,-0.314,1.604,0.372,G,G,G,ITEM
AGRICULTURAL PROCESSED,OIL,-,SOYBEAN OIL,6,2.30,1.79,1.24,1.07,4.30,0.63,1.28,3.26,0.54,0.208,1.268,0.617,Y,G,G,ITEM
AGRICULTURAL PROCESSED,OIL,-,SUNFLOWER OIL,5,0.99,0.98,0.08,0.90,1.12,0.05,0.94,1.03,0.08,0.447,1.974,0.865,Y,G,G,ITEM
AGRICULTURAL PROCESSED,PASTA*,-,PASTA*,48,1.24,1.21,0.44,0.55,2.30,0.33,0.87,1.50,0.35,0.575,2.389,0.011,G,G,Y,ITEM
AGRICULTURAL PROCESSED,PESTO,-,PESTO,2,2.71,2.71,0.11,2.60,2.83,0.11,2.66,2.77,0.04,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,PESTO,-,PESTO WITHOUT GARLIC,1,2.72,2.72,-,2.72,2.72,-,2.72,2.72,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,SUGAR,-,BEET SUGAR,9,0.89,0.94,0.30,0.26,1.31,0.27,0.67,1.05,0.34,-0.588,2.663,0.681,G,G,G,ITEM
AGRICULTURAL PROCESSED,SUGAR,-,CANE SUGAR,7,0.67,0.62,0.37,0.28,1.51,0.20,0.42,0.70,0.56,1.382,3.866,0.060,Y,G,G,ITEM
AGRICULTURAL PROCESSED,SWEETS,-,CAKES AND CROISSANT**,14,2.23,2.14,0.38,1.64,3.09,0.23,1.96,2.47,0.17,0.661,2.809,0.431,G,G,G,ITEM
AGRICULTURAL PROCESSED,SWEETS,-,COCOA CAKES AND CROISSANT**,9,1.97,1.94,0.37,1.45,2.62,0.22,1.83,2.16,0.19,0.200,2.220,0.583,G,G,G,ITEM
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO CHOPPED,4,1.41,1.47,0.16,1.14,1.56,0.04,1.39,1.49,0.11,-0.986,2.232,0.109,Y,G,G,ITEM
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO PEELED,3,1.28,1.30,0.04,1.22,1.31,0.01,1.26,1.30,0.03,-0.683,,0.165,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,"TOMATO PUREE,PEELED, CHOPPED",-,TOMATO PUREE,7,1.17,1.03,0.22,0.96,1.56,0.07,0.99,1.33,0.19,0.632,1.898,0.108,Y,G,G,ITEM
AGRICULTURAL PROCESSED,TOMATO SAUCE,-,TOMATO & BASIL,4,1.15,1.14,0.12,1.02,1.29,0.11,1.04,1.25,0.10,0.038,1.094,0.220,Y,G,G,ITEM
AGRICULTURAL PROCESSED,TOMATO SAUCE,-,TOMATO ARRABBIATA,4,1.26,1.24,0.14,1.07,1.46,0.11,1.16,1.34,0.11,0.204,1.777,0.975,Y,G,G,ITEM
AGRICULTURAL PROCESSED,VEGETABLES CANNED,-,CARROTS CANNED,1,1.60,1.60,-,1.60,1.60,-,1.60,1.60,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETABLES CANNED,-,CORN CANNED,1,1.36,1.36,-,1.36,1.36,-,1.36,1.36,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETABLES FROZEN,-,CARROTS (F),1,0.27,0.27,-,0.27,0.27,-,0.27,0.27,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETABLES FROZEN,-,ZUCCHINI (F),1,1.35,1.35,-,1.35,1.35,-,1.35,1.35,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETAL CREAM* (soy cream),-,SOY CREAM*,1,1.62,1.62,-,1.62,1.62,-,1.62,1.62,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,VEGETAL MILK,-,ALMOND MILK,2,0.42,0.42,0.02,0.39,0.44,0.02,0.41,0.43,0.06,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETAL MILK,-,COCONUT MILK,2,0.41,0.41,0.02,0.39,0.44,0.02,0.40,0.42,0.06,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETAL MILK,-,RICE MILK,3,0.80,0.66,0.21,0.64,1.09,0.02,0.65,0.88,0.26,0.703,,0.067,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETAL MILK,-,SOY MILK,22,0.85,0.78,0.26,0.28,1.40,0.14,0.70,0.95,0.31,0.426,3.183,0.043,G,G,Y,ITEM
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,-,QUORNE,2,2.50,2.50,0.10,2.40,2.60,0.10,2.45,2.55,0.04,-,-,-,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,-,SOY BURGER,1,1.48,1.48,-,1.48,1.48,-,1.48,1.48,-,-,-,n.a.,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,-,TOFU,4,2.33,2.27,0.96,1.07,3.72,0.73,1.77,2.84,0.41,0.181,1.857,0.979,Y,G,G,ITEM
AGRICULTURAL PROCESSED,VEGETAL YOGURT (soy yogurt),-,SOY YOGURT*,1,1.36,1.36,-,1.36,1.36,-,1.36,1.36,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,WINE,-,WINE RED,17,1.02,0.87,0.48,0.32,2.13,0.38,0.71,1.38,0.47,0.581,2.609,0.524,G,G,G,ITEM
AGRICULTURAL PROCESSED,WINE,-,WINE WHITE,3,0.74,0.44,0.43,0.44,1.35,0.00,0.44,0.90,0.57,0.707,,0.006,R,G,R,TYPOLOGY
AGRICULTURAL PROCESSED,YEAST COMPRESSED*,-,YEAST COMPRESSED*,1,0.82,0.82,-,0.82,0.82,-,0.82,0.82,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,YEAST DRIED*,-,YEAST DRIED*,1,3.29,3.29,-,3.29,3.29,-,3.29,3.29,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
AGRICULTURAL PROCESSED,YEAST LIQUID*,-,YEAST LIQUID*,1,0.50,0.50,-,0.50,0.50,-,0.50,0.50,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
ANIMAL HUSBANDRY,BEEF BONE FREE MEAT*,,BEEF BONE FREE MEAT*,183,27.72,25.75,12.72,2.27,109.35,4.28,21.84,31.00,0.46,2.885,17.540,0.000,G,n.a,R,ITEM
ANIMAL HUSBANDRY,BEEF MEAT WITH BONE*,-,BEEF MEAT WITH BONE*,172,19.54,17.96,8.22,7.51,76.04,2.88,15.47,21.59,0.42,3.749,23.443,0.000,G,G,R,ITEM
ANIMAL HUSBANDRY,BUFFALO BONE FREE MEAT*,-,BUFFALO BONE FREE MEAT*,3,71.39,78.80,11.95,54.53,80.85,2.05,66.67,79.82,0.17,-0.692,,0.134,R,n.a,R,ITEM matching with TYPOLOGY
ANIMAL HUSBANDRY,BUTTER*,-,BUTTER*,11,9.90,8.48,6.66,1.05,25.00,1.24,7.22,9.55,0.67,1.154,3.413,0.020,G,G,Y,ITEM
ANIMAL HUSBANDRY,CHEESE FRESH,-,CREAM,8,5.34,5.45,2.20,2.10,8.31,1.95,3.86,7.14,0.41,-0.210,1.751,0.490,Y,G,G,ITEM
ANIMAL HUSBANDRY,CHEESE FRESH,-,MASCARPONE,1,5.70,5.70,-,5.70,5.70,-,5.70,5.70,-,-,-,n.a.,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE FRESH,-,MOZZARELLA,14,8.48,8.20,1.43,6.27,11.95,1.01,7.40,9.30,0.17,0.726,3.236,0.652,G,G,G,ITEM
ANIMAL HUSBANDRY,CHEESE FRESH,-,RICOTTA,1,3.40,3.40,-,3.40,3.40,-,3.40,3.40,-,-,-,n.a.,R,R,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE FRESH,-,STRACCHINO,1,4.92,4.92,-,4.92,4.92,-,4.92,4.92,-,-,-,n.a.,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,ASIAGO,1,10.24,10.24,-,10.24,10.24,-,10.24,10.24,-,-,-,n.a.,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,CAMEMBERT,2,7.55,7.55,0.55,7.00,8.10,0.55,7.28,7.83,0.07,-,-,-,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,CEDDAR,4,11.87,11.21,3.07,8.70,16.35,2.16,9.22,13.86,0.26,0.388,1.539,0.503,Y,G,G,ITEM
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,CHEESE,27,9.29,8.93,2.53,5.33,14.69,1.21,8.11,10.29,0.27,0.578,2.814,0.016,G,G,Y,ITEM
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,CHEESE SEMI-HARD,2,8.65,8.65,0.15,8.50,8.79,0.15,8.57,8.72,0.02,-,-,-,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,EMMENTAL,1,8.20,8.20,-,8.20,8.20,-,8.20,8.20,-,-,-,n.a.,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,GOAT CHEESE,3,8.18,8.35,0.34,7.71,8.48,0.13,8.03,8.42,0.04,-0.629,,0.302,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,GRANA PADANO,3,14.27,15.34,2.80,10.44,17.04,4.90,12.89,16.19,0.20,-0.516,,0.541,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,PARMIGIANO REGGIANO,3,14.08,12.54,4.78,9.15,20.54,3.39,10.84,16.54,0.34,0.449,,0.562,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,CHEESE HARD & SEMI-HARD,-,PECORINO,3,18.85,17.15,2.42,17.14,22.27,0.01,17.15,19.71,0.13,0.707,,0.534,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,EDIBLE INSECTS* (mealworms),-,MEALWORMS*,1,2.84,2.84,-,2.84,2.84,-,2.84,2.84,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
ANIMAL HUSBANDRY,EGGS*,-,EGGS*,51,3.23,3.20,1.22,0.72,6.00,0.85,2.24,4.04,0.38,0.192,2.486,0.654,G,n.a.,G,ITEM matching with TYPOLOGY
ANIMAL HUSBANDRY,HONEY*,-,HONEY*,2,1.74,1.74,0.81,0.94,2.55,0.81,1.34,2.15,0.46,-,-,-,R,n.a,R,ITEM matching with TYPOLOGY
ANIMAL HUSBANDRY,KANGAROO MEAT*,-,KANGAROO MEAT*,1,4.10,4.10,-,4.10,4.10,-,4.10,4.10,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
ANIMAL HUSBANDRY,LAMB BONE FREE MEAT*,-,LAMB BONE FREE MEAT*,55,27.21,25.23,11.73,10.05,56.70,8.53,17.12,34.44,0.43,0.583,2.443,0.015,G,G,Y,ITEM
ANIMAL HUSBANDRY,LAMB MEAT WITH BONE*,-,LAMB MEAT WITH BONE*,55,18.01,16.70,7.74,6.68,37.47,5.63,11.35,22.78,0.43,0.583,2.443,0.015,G,G,Y,ITEM
ANIMAL HUSBANDRY,MILK,-,BUFFALO MILK,7,3.75,3.57,0.79,2.87,5.20,0.49,3.14,4.18,0.21,0.712,2.113,0.347,Y,G,G,ITEM
ANIMAL HUSBANDRY,MILK,-,COW MILK,364,1.43,1.31,0.72,0.54,8.44,0.20,1.14,1.54,0.51,6.290,54.223,0.000,G,G,R,ITEM
ANIMAL HUSBANDRY,MILK,-,GOAT MILK,2,1.44,1.44,0.03,1.41,1.46,0.03,1.42,1.45,0.02,-,-,-,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,PORK BONE FREE MEAT*,-,PORK BONE FREE MEAT*,135,5.79,5.72,1.69,2.11,11.86,1.14,4.48,6.59,0.29,0.626,3.443,0.005,G,G,R,ITEM
ANIMAL HUSBANDRY,PORK CURED MEAT,-,BACON,2,4.03,4.03,1.03,3.00,5.05,1.03,3.51,4.54,0.25,-,-,-,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,PORK CURED MEAT,-,NECK,2,4.03,4.03,1.03,3.00,5.05,1.03,3.51,4.54,0.25,-,-,-,R,G,R,TYPOLOGY
ANIMAL HUSBANDRY,PORK CURED MEAT,-,PORK HAM,4,7.93,7.95,4.04,3.00,12.84,3.90,4.54,11.34,0.51,-0.005,1.236,0.514,Y,G,G,ITEM
ANIMAL HUSBANDRY,PORK CURED MEAT,-,PORK SAUSAGES,1,17.94,17.94,-,17.94,17.94,-,17.94,17.94,-,-,-,n.a.,R,R,R,TYPOLOGY
ANIMAL HUSBANDRY,PORK MEAT WITH BONE*,-,PORK MEAT WITH BONE*,131,3.50,3.44,1.00,1.30,7.06,0.68,2.70,3.96,0.29,0.606,3.410,0.006,G,G,R,ITEM
